,full_id,osm_id,Y,X,status,power,fast_charging,cost,brand,level,geometry
13,n4367406382,4367406382,6819518.21695261,2339855.65776073,unavailable,120,False,0.39,Eticanium Energy,Level 1,POINT (6819518.21695261 2339855.65776073)
14,n4367763288,4367763288,6665570.6425488,2513188.28690843,available,234,False,0.44,Begum Energy,Level 2,POINT (6665570.6425488 2513188.28690843)
15,n4367905968,4367905968,6869505.5058487,1891047.23033297,unavailable,120,False,0.7,Tosuns Energy,Level 1,POINT (6869505.5058487 1891047.23033297)
16,n4373240219,4373240219,6832644.80488359,2338341.97985272,unavailable,480,True,0.63,S4M3T Energy,Level 3,POINT (6832644.80488359 2338341.97985272)
17,n4420684501,4420684501,6825970.37173827,2342037.31940519,unavailable,120,False,0.5,S4M3T Energy,Level 1,POINT (6825970.37173827 2342037.31940519)
18,n4420821905,4420821905,6646608.72684251,1902505.75740244,unavailable,120,True,0.39,Begum Energy,Level 1,POINT (6646608.72684251 1902505.75740244)
19,n4461631112,4461631112,6820425.28161588,2278138.58472402,unavailable,120,True,0.55,Begum Energy,Level 1,POINT (6820425.28161588 2278138.58472402)
20,n4525069161,4525069161,6490479.83126993,2120257.24561376,unavailable,229,False,0.42,Begum Energy,Level 2,POINT (6490479.83126993 2120257.24561376)
21,n4595523722,4595523722,6805985.87518709,1737456.51175221,unavailable,120,True,0.68,Begum Energy,Level 1,POINT (6805985.87518709 1737456.51175221)
22,n4621907192,4621907192,6827536.20565438,2339574.73189376,unavailable,120,True,0.29,Tosuns Energy,Level 1,POINT (6827536.20565438 2339574.73189376)
23,n4622362932,4622362932,7246723.12171745,2067293.59149244,unavailable,233,True,0.33,Begum Energy,Level 2,POINT (7246723.12171745 2067293.59149244)
24,n4622362933,4622362933,7264810.60446635,2063830.74269649,available,120,True,0.21,Eticanium Energy,Level 1,POINT (7264810.60446635 2063830.74269649)
25,n4622362934,4622362934,7240776.91888243,2073589.33208595,unavailable,480,False,0.36,Eticanium Energy,Level 3,POINT (7240776.91888243 2073589.33208595)
26,n4622362935,4622362935,6463458.81723768,2214194.39829475,available,120,False,0.23,Eticanium Energy,Level 1,POINT (6463458.81723768 2214194.39829475)
27,n4622362936,4622362936,6497685.81293402,2128072.00745084,available,120,False,0.2,Begum Energy,Level 1,POINT (6497685.81293402 2128072.00745084)
28,n4631907717,4631907717,6872823.41650378,1880521.05965865,unavailable,480,False,0.48,Eticanium Energy,Level 3,POINT (6872823.41650378 1880521.05965865)
29,n4654572560,4654572560,7054182.38050439,1633553.97146372,unavailable,120,False,0.25,S4M3T Energy,Level 1,POINT (7054182.38050439 1633553.97146372)
30,n4741754575,4741754575,6463121.47886006,2064719.49524709,available,480,True,0.35,S4M3T Energy,Level 3,POINT (6463121.47886006 2064719.49524709)
31,n4791943221,4791943221,6439216.36982503,2075736.77411895,available,120,True,0.47,Tosuns Energy,Level 1,POINT (6439216.36982503 2075736.77411895)
32,n4877729524,4877729524,6875732.97604447,1880201.04951846,unavailable,226,False,0.43,Tosuns Energy,Level 2,POINT (6875732.97604447 1880201.04951846)
33,n4877894009,4877894009,6865255.30194061,1875646.5127402,unavailable,480,True,0.32,Begum Energy,Level 3,POINT (6865255.30194061 1875646.5127402)
34,n4877945313,4877945313,7007387.9439935,2017192.38449349,unavailable,120,True,0.58,Eticanium Energy,Level 1,POINT (7007387.9439935 2017192.38449349)
35,n4882953763,4882953763,6647904.1079246,1906729.686425,unavailable,120,False,0.39,Begum Energy,Level 1,POINT (6647904.1079246 1906729.686425)
36,n4882965505,4882965505,6648737.44791929,1906670.70935878,available,120,True,0.43,Tosuns Energy,Level 1,POINT (6648737.44791929 1906670.70935878)
37,n4882989231,4882989231,6652152.85199792,1911898.00547965,available,120,True,0.43,Begum Energy,Level 1,POINT (6652152.85199792 1911898.00547965)
38,n4883000818,4883000818,6629787.75368198,1887968.4671761,unavailable,120,False,0.22,S4M3T Energy,Level 1,POINT (6629787.75368198 1887968.4671761)
39,n4883013472,4883013472,6629832.1279577,1887348.36195264,available,480,True,0.52,Tosuns Energy,Level 3,POINT (6629832.1279577 1887348.36195264)
40,n4883088543,4883088543,7244923.11898085,2068708.98542203,available,480,False,0.52,Begum Energy,Level 3,POINT (7244923.11898085 2068708.98542203)
41,n4883126974,4883126974,7055702.2054461,1614172.56906771,unavailable,120,True,0.52,Tosuns Energy,Level 1,POINT (7055702.2054461 1614172.56906771)
42,n4883140134,4883140134,7062328.69070821,1619123.49228879,available,120,True,0.56,Eticanium Energy,Level 1,POINT (7062328.69070821 1619123.49228879)
43,n4883151879,4883151879,7063268.62399698,1620772.15621134,available,120,False,0.47,S4M3T Energy,Level 1,POINT (7063268.62399698 1620772.15621134)
44,n4883159653,4883159653,7067914.45256529,1622051.94073725,available,120,True,0.52,Begum Energy,Level 1,POINT (7067914.45256529 1622051.94073725)
45,n4883176838,4883176838,7053146.78295698,1633626.61856341,available,120,True,0.47,S4M3T Energy,Level 1,POINT (7053146.78295698 1633626.61856341)
46,n4884914464,4884914464,7205443.37142594,2160255.385059,unavailable,480,False,0.67,S4M3T Energy,Level 3,POINT (7205443.37142594 2160255.385059)
47,n4884928310,4884928310,7125895.83624458,2284593.16709894,available,120,False,0.3,Tosuns Energy,Level 1,POINT (7125895.83624458 2284593.16709894)
48,n4885099254,4885099254,6868847.29226541,2329824.45807026,unavailable,120,False,0.61,S4M3T Energy,Level 1,POINT (6868847.29226541 2329824.45807026)
49,n4885117665,4885117665,6843907.16833989,2340846.2231176,available,225,False,0.51,S4M3T Energy,Level 2,POINT (6843907.16833989 2340846.2231176)
50,n4885131773,4885131773,6844406.66595331,2338881.46750095,unavailable,213,False,0.37,Tosuns Energy,Level 2,POINT (6844406.66595331 2338881.46750095)
51,n4885138760,4885138760,6841915.19403724,2338534.52917594,available,120,True,0.26,Begum Energy,Level 1,POINT (6841915.19403724 2338534.52917594)
52,n4885153810,4885153810,6840571.53535406,2339217.19595323,unavailable,215,True,0.5,Begum Energy,Level 2,POINT (6840571.53535406 2339217.19595323)
53,n4885164826,4885164826,6838715.26100391,2338746.16979184,unavailable,120,False,0.65,S4M3T Energy,Level 1,POINT (6838715.26100391 2338746.16979184)
54,n4885184290,4885184290,6833701.24661373,2338030.05150757,unavailable,231,False,0.66,Tosuns Energy,Level 2,POINT (6833701.24661373 2338030.05150757)
55,n4885207511,4885207511,6847132.76805398,2311799.82876,unavailable,217,True,0.57,Begum Energy,Level 2,POINT (6847132.76805398 2311799.82876)
56,n4885215146,4885215146,6897835.64141517,2197389.77494383,unavailable,120,True,0.43,Begum Energy,Level 1,POINT (6897835.64141517 2197389.77494383)
57,n4885229715,4885229715,6888558.67329371,1875948.82308134,unavailable,120,False,0.32,Tosuns Energy,Level 1,POINT (6888558.67329371 1875948.82308134)
58,n4903362626,4903362626,6855197.09129311,2336284.71773922,unavailable,120,False,0.63,Begum Energy,Level 1,POINT (6855197.09129311 2336284.71773922)
59,n4903362627,4903362627,6819772.09344545,2339725.61433159,available,480,True,0.49,Tosuns Energy,Level 3,POINT (6819772.09344545 2339725.61433159)
60,n4910302263,4910302263,6456266.78626218,2220037.94798471,available,224,True,0.44,Tosuns Energy,Level 2,POINT (6456266.78626218 2220037.94798471)
61,n4910346135,4910346135,6457710.28261363,2217247.82513551,unavailable,209,True,0.31,Eticanium Energy,Level 2,POINT (6457710.28261363 2217247.82513551)
62,n4910367979,4910367979,6450671.08842219,2225550.25539786,available,217,True,0.33,S4M3T Energy,Level 2,POINT (6450671.08842219 2225550.25539786)
63,n4910381829,4910381829,6455680.45257996,2221315.72875978,unavailable,231,True,0.37,Begum Energy,Level 2,POINT (6455680.45257996 2221315.72875978)
64,n4910447733,4910447733,7242290.60371003,2057636.92622875,available,230,True,0.39,Begum Energy,Level 2,POINT (7242290.60371003 2057636.92622875)
65,n4910452347,4910452347,7236845.87100529,2062124.6156528,available,480,True,0.64,Eticanium Energy,Level 3,POINT (7236845.87100529 2062124.6156528)
66,n4911934508,4911934508,7237015.92055245,2075091.56635031,available,120,False,0.58,Begum Energy,Level 1,POINT (7237015.92055245 2075091.56635031)
67,n4911943375,4911943375,7242142.57258418,2070642.59384516,unavailable,480,True,0.41,Tosuns Energy,Level 3,POINT (7242142.57258418 2070642.59384516)
68,n4911955222,4911955222,6839230.15346225,1821799.48279969,available,480,False,0.68,Begum Energy,Level 3,POINT (6839230.15346225 1821799.48279969)
69,n4911995625,4911995625,6509056.2864571,2128232.27412173,unavailable,218,False,0.61,S4M3T Energy,Level 2,POINT (6509056.2864571 2128232.27412173)
70,n4936847275,4936847275,7253881.19267229,2066592.69058256,unavailable,120,False,0.23,Begum Energy,Level 1,POINT (7253881.19267229 2066592.69058256)
71,n4936970059,4936970059,6466433.3288375,2451002.67013497,available,120,False,0.24,Begum Energy,Level 1,POINT (6466433.3288375 2451002.67013497)
72,n4936982598,4936982598,6447014.51397065,2334746.14879306,available,120,True,0.44,Tosuns Energy,Level 1,POINT (6447014.51397065 2334746.14879306)
73,n4938087157,4938087157,6874410.62053145,1896009.46361432,unavailable,120,True,0.63,Tosuns Energy,Level 1,POINT (6874410.62053145 1896009.46361432)
74,n4948233896,4948233896,6863937.18089655,1892733.79854214,unavailable,120,False,0.63,Begum Energy,Level 1,POINT (6863937.18089655 1892733.79854214)
75,n4948254225,4948254225,6872725.75235008,1889334.47977958,available,120,True,0.5,Begum Energy,Level 1,POINT (6872725.75235008 1889334.47977958)
76,n5060166722,5060166722,6939816.8391055,1702035.77410865,available,120,True,0.59,Begum Energy,Level 1,POINT (6939816.8391055 1702035.77410865)
77,n5097092860,5097092860,6778355.00824568,1788792.31869576,unavailable,480,True,0.7,Begum Energy,Level 3,POINT (6778355.00824568 1788792.31869576)
78,n5185432854,5185432854,6841530.65599562,2337258.02857502,unavailable,120,False,0.38,S4M3T Energy,Level 1,POINT (6841530.65599562 2337258.02857502)
79,n5381135974,5381135974,6789263.74113397,1726507.29361702,available,120,True,0.35,Tosuns Energy,Level 1,POINT (6789263.74113397 1726507.29361702)
80,n5519218140,5519218140,7006243.54617294,2005892.81052492,available,480,False,0.68,S4M3T Energy,Level 3,POINT (7006243.54617294 2005892.81052492)
81,n5619432999,5619432999,6830946.73407014,2322126.10302471,unavailable,228,False,0.43,Tosuns Energy,Level 2,POINT (6830946.73407014 2322126.10302471)
82,n5641238970,5641238970,6448101.03703263,2329889.91393085,available,120,True,0.21,Begum Energy,Level 1,POINT (6448101.03703263 2329889.91393085)
83,n5668985344,5668985344,6763090.35550533,2180954.14230905,unavailable,120,False,0.47,Begum Energy,Level 1,POINT (6763090.35550533 2180954.14230905)
84,n5744355211,5744355211,6864320.62032939,1874643.59091984,available,120,False,0.59,S4M3T Energy,Level 1,POINT (6864320.62032939 1874643.59091984)
85,n5744357229,5744357229,6864123.76794668,1874290.4075714,unavailable,210,False,0.25,Begum Energy,Level 2,POINT (6864123.76794668 1874290.4075714)
86,n5745668326,5745668326,6880172.51693116,1866179.79192365,unavailable,120,False,0.57,S4M3T Energy,Level 1,POINT (6880172.51693116 1866179.79192365)
87,n5745930213,5745930213,6869209.8292061,1890529.02697138,available,120,False,0.23,S4M3T Energy,Level 1,POINT (6869209.8292061 1890529.02697138)
88,n5746005570,5746005570,6869228.94126433,1880947.53575982,unavailable,120,False,0.49,Tosuns Energy,Level 1,POINT (6869228.94126433 1880947.53575982)
89,n5754586275,5754586275,6501267.92385388,2130133.9783788,unavailable,234,True,0.24,Begum Energy,Level 2,POINT (6501267.92385388 2130133.9783788)
90,n5794461365,5794461365,6858871.22096593,1954902.5170169,available,480,False,0.35,Eticanium Energy,Level 3,POINT (6858871.22096593 1954902.5170169)
91,n5794465803,5794465803,6840918.68253675,1922759.23668932,available,120,False,0.39,Begum Energy,Level 1,POINT (6840918.68253675 1922759.23668932)
92,n5794513198,5794513198,6864057.51975433,1879948.5212536,available,120,True,0.33,Eticanium Energy,Level 1,POINT (6864057.51975433 1879948.5212536)
93,n5794546943,5794546943,6959952.42599588,2090014.64540394,unavailable,480,True,0.54,S4M3T Energy,Level 3,POINT (6959952.42599588 2090014.64540394)
94,n5794578253,5794578253,6681292.78868383,1740100.02683203,available,120,True,0.69,Eticanium Energy,Level 1,POINT (6681292.78868383 1740100.02683203)
95,n5794578254,5794578254,6657985.05615217,1798168.23620367,available,480,True,0.43,Eticanium Energy,Level 3,POINT (6657985.05615217 1798168.23620367)
96,n5794578255,5794578255,6719670.52831255,1785550.03833886,available,480,True,0.54,Eticanium Energy,Level 3,POINT (6719670.52831255 1785550.03833886)
97,n5794578256,5794578256,6734436.88628916,1654269.94983899,unavailable,120,False,0.27,Eticanium Energy,Level 1,POINT (6734436.88628916 1654269.94983899)
98,n5794578257,5794578257,7054485.57194406,1615004.19245563,unavailable,220,False,0.37,Tosuns Energy,Level 2,POINT (7054485.57194406 1615004.19245563)
99,n5794578258,5794578258,7054476.46390094,1632021.65867295,unavailable,120,False,0.6,S4M3T Energy,Level 1,POINT (7054476.46390094 1632021.65867295)
100,n5794578259,5794578259,6938819.19376152,1698779.95730167,unavailable,480,True,0.6,Tosuns Energy,Level 3,POINT (6938819.19376152 1698779.95730167)
101,n5794578260,5794578260,6853805.82266337,1705214.22386952,available,120,False,0.68,S4M3T Energy,Level 1,POINT (6853805.82266337 1705214.22386952)
102,n5799523852,5799523852,6629536.26267224,1888122.15486509,unavailable,120,True,0.38,S4M3T Energy,Level 1,POINT (6629536.26267224 1888122.15486509)
103,n5799523853,5799523853,6630419.19778887,1889265.50622308,available,120,True,0.27,Tosuns Energy,Level 1,POINT (6630419.19778887 1889265.50622308)
104,n5799523854,5799523854,6642367.52125627,1891385.54139744,unavailable,120,False,0.54,S4M3T Energy,Level 1,POINT (6642367.52125627 1891385.54139744)
105,n5799523855,5799523855,6583139.18218663,1931137.13043447,unavailable,120,False,0.23,Tosuns Energy,Level 1,POINT (6583139.18218663 1931137.13043447)
106,n5799523856,5799523856,6537400.28663047,1994644.89993203,unavailable,217,False,0.64,Tosuns Energy,Level 2,POINT (6537400.28663047 1994644.89993203)
107,n5799523857,5799523857,6573775.38878442,2132217.56755188,available,120,True,0.39,S4M3T Energy,Level 1,POINT (6573775.38878442 2132217.56755188)
108,n5799523858,5799523858,6727578.64338693,2084497.58464853,unavailable,222,True,0.4,Eticanium Energy,Level 2,POINT (6727578.64338693 2084497.58464853)
109,n5799523859,5799523859,6693220.39060093,2188567.74982626,available,120,True,0.4,Tosuns Energy,Level 1,POINT (6693220.39060093 2188567.74982626)
110,n5799523860,5799523860,6736598.68775807,2169306.71719565,unavailable,120,False,0.57,Eticanium Energy,Level 1,POINT (6736598.68775807 2169306.71719565)
111,n5799523861,5799523861,6746494.70801807,2161176.93233158,available,220,False,0.4,Eticanium Energy,Level 2,POINT (6746494.70801807 2161176.93233158)
112,n5799523862,5799523862,6914005.43488842,2111663.94865392,unavailable,480,False,0.24,S4M3T Energy,Level 3,POINT (6914005.43488842 2111663.94865392)
113,n5799523863,5799523863,6987660.59933999,2074939.64864122,unavailable,120,True,0.66,Eticanium Energy,Level 1,POINT (6987660.59933999 2074939.64864122)
114,n5799523864,5799523864,7111550.45412038,2224541.9123183,available,120,True,0.59,Begum Energy,Level 1,POINT (7111550.45412038 2224541.9123183)
115,n5799523865,5799523865,7252457.61039133,2057572.82846595,unavailable,231,False,0.32,Eticanium Energy,Level 2,POINT (7252457.61039133 2057572.82846595)
116,n5799523866,5799523866,7241064.77229305,2061565.70275342,unavailable,120,True,0.56,Begum Energy,Level 1,POINT (7241064.77229305 2061565.70275342)
117,n5799523867,5799523867,7236531.75794228,2075318.13490992,unavailable,230,True,0.54,Tosuns Energy,Level 2,POINT (7236531.75794228 2075318.13490992)
118,n5799523868,5799523868,7248097.42371593,2069846.58156235,available,120,True,0.66,Eticanium Energy,Level 1,POINT (7248097.42371593 2069846.58156235)
119,n5816404567,5816404567,6901004.16042953,1935520.4578359,unavailable,224,True,0.3,S4M3T Energy,Level 2,POINT (6901004.16042953 1935520.4578359)
120,n5818953353,5818953353,6819519.54005494,2319151.55717512,unavailable,223,True,0.48,Tosuns Energy,Level 2,POINT (6819519.54005494 2319151.55717512)
121,n5818953354,5818953354,6843862.02873262,2329812.5134889,available,120,False,0.53,Begum Energy,Level 1,POINT (6843862.02873262 2329812.5134889)
122,n5818953355,5818953355,6841946.94587054,2349431.24903928,available,480,True,0.31,Begum Energy,Level 3,POINT (6841946.94587054 2349431.24903928)
123,n5818953356,5818953356,6857734.15476051,2334010.05979214,available,120,True,0.32,Begum Energy,Level 1,POINT (6857734.15476051 2334010.05979214)
124,n5818953357,5818953357,6858968.24371736,2326695.66793423,unavailable,120,True,0.48,Eticanium Energy,Level 1,POINT (6858968.24371736 2326695.66793423)
125,n5818953358,5818953358,6937553.00879822,2425211.62504248,available,120,False,0.36,Eticanium Energy,Level 1,POINT (6937553.00879822 2425211.62504248)
126,n5818953359,5818953359,7014468.29457369,2457567.00239586,unavailable,120,True,0.52,Begum Energy,Level 1,POINT (7014468.29457369 2457567.00239586)
127,n5818953360,5818953360,7100929.89637035,2501941.23347562,unavailable,120,True,0.65,S4M3T Energy,Level 1,POINT (7100929.89637035 2501941.23347562)
128,n5818953361,5818953361,7193946.84806536,2554133.19862286,unavailable,480,False,0.35,S4M3T Energy,Level 3,POINT (7193946.84806536 2554133.19862286)
129,n5825320860,5825320860,6864118.90182983,1874306.97191163,available,480,True,0.47,Eticanium Energy,Level 3,POINT (6864118.90182983 1874306.97191163)
130,n5834242895,5834242895,6436534.55852166,2051664.57988795,unavailable,120,True,0.48,Tosuns Energy,Level 1,POINT (6436534.55852166 2051664.57988795)
131,n5834242896,5834242896,6490977.40630503,2076860.33287147,unavailable,120,False,0.62,Tosuns Energy,Level 1,POINT (6490977.40630503 2076860.33287147)
132,n5834242897,5834242897,6499561.76614791,2075750.41075657,unavailable,209,False,0.63,Begum Energy,Level 2,POINT (6499561.76614791 2075750.41075657)
133,n5834242898,5834242898,6506623.30576429,2098428.0611986,available,120,False,0.55,Tosuns Energy,Level 1,POINT (6506623.30576429 2098428.0611986)
134,n5834242899,5834242899,6493321.29248351,2115880.55285399,available,120,False,0.41,Begum Energy,Level 1,POINT (6493321.29248351 2115880.55285399)
135,n5834242900,5834242900,6412228.55293309,2120691.95935726,available,480,True,0.59,Eticanium Energy,Level 3,POINT (6412228.55293309 2120691.95935726)
136,n5834242901,5834242901,6462154.48563662,2214890.51246653,available,217,True,0.35,Tosuns Energy,Level 2,POINT (6462154.48563662 2214890.51246653)
137,n5834242902,5834242902,6459148.99944425,2226272.8302126,unavailable,120,False,0.43,Begum Energy,Level 1,POINT (6459148.99944425 2226272.8302126)
138,n5834242903,5834242903,6451524.9217698,2338054.3970802,available,234,False,0.31,Tosuns Energy,Level 2,POINT (6451524.9217698 2338054.3970802)
139,n5834242904,5834242904,6451109.03226404,2450654.0620176,unavailable,230,False,0.36,Eticanium Energy,Level 2,POINT (6451109.03226404 2450654.0620176)
140,n5834242906,5834242906,6662346.00529358,2517668.39547515,available,208,True,0.21,Begum Energy,Level 2,POINT (6662346.00529358 2517668.39547515)
141,n5835040385,5835040385,6841748.42172013,1923523.22235463,available,226,True,0.64,Begum Energy,Level 2,POINT (6841748.42172013 1923523.22235463)
142,n5842457675,5842457675,6905201.80529791,1781692.46176051,available,480,True,0.37,Begum Energy,Level 3,POINT (6905201.80529791 1781692.46176051)
143,n5849977200,5849977200,7242403.48768236,2057642.68144643,unavailable,120,True,0.41,Tosuns Energy,Level 1,POINT (7242403.48768236 2057642.68144643)
144,n5993889831,5993889831,6874496.64423032,2331034.44527544,available,480,False,0.28,S4M3T Energy,Level 3,POINT (6874496.64423032 2331034.44527544)
145,n6050484080,6050484080,6572666.62594187,1852588.32775083,unavailable,120,True,0.25,Tosuns Energy,Level 1,POINT (6572666.62594187 1852588.32775083)
146,n6087582325,6087582325,6447208.23790764,2220671.93474867,available,120,False,0.25,S4M3T Energy,Level 1,POINT (6447208.23790764 2220671.93474867)
147,n6088293446,6088293446,6475997.92447249,2150210.59325871,available,480,False,0.37,Eticanium Energy,Level 3,POINT (6475997.92447249 2150210.59325871)
148,n6090487908,6090487908,6870494.10357209,1865523.58578932,unavailable,120,False,0.38,Begum Energy,Level 1,POINT (6870494.10357209 1865523.58578932)
149,n6090755386,6090755386,6897472.72710686,1886143.23940921,unavailable,120,True,0.47,S4M3T Energy,Level 1,POINT (6897472.72710686 1886143.23940921)
150,n6102919909,6102919909,7009711.93844637,2018374.84238859,unavailable,480,False,0.5,Tosuns Energy,Level 3,POINT (7009711.93844637 2018374.84238859)
151,n6133369331,6133369331,6527364.7762905,2140645.09865797,unavailable,480,False,0.47,Eticanium Energy,Level 3,POINT (6527364.7762905 2140645.09865797)
152,n6157544774,6157544774,7008542.80501828,2573009.80052397,available,120,False,0.3,Eticanium Energy,Level 1,POINT (7008542.80501828 2573009.80052397)
153,n6178047393,6178047393,6375582.81757097,2305528.8122254,unavailable,227,True,0.5,Begum Energy,Level 2,POINT (6375582.81757097 2305528.8122254)
154,n6200840389,6200840389,6693932.24061129,1803119.88300144,available,120,False,0.44,Tosuns Energy,Level 1,POINT (6693932.24061129 1803119.88300144)
155,n6257945395,6257945395,6857980.0577971,1679667.01298967,available,238,True,0.54,Eticanium Energy,Level 2,POINT (6857980.0577971 1679667.01298967)
156,n6300067051,6300067051,6843049.95889372,1729989.32276124,unavailable,480,True,0.64,Eticanium Energy,Level 3,POINT (6843049.95889372 1729989.32276124)
157,n6327856433,6327856433,6880674.0854838,1886516.66064108,unavailable,120,False,0.24,Tosuns Energy,Level 1,POINT (6880674.0854838 1886516.66064108)
158,n6328555049,6328555049,7186677.30717976,2092017.91756441,unavailable,120,True,0.63,Begum Energy,Level 1,POINT (7186677.30717976 2092017.91756441)
159,n6328587523,6328587523,7085779.43776366,2070769.21976594,available,480,True,0.31,Eticanium Energy,Level 3,POINT (7085779.43776366 2070769.21976594)
160,n6344610741,6344610741,6466724.32648549,2217556.9037017,unavailable,236,False,0.37,Tosuns Energy,Level 2,POINT (6466724.32648549 2217556.9037017)
161,n6358925997,6358925997,6649237.19798592,1673707.26801522,available,234,False,0.46,Begum Energy,Level 2,POINT (6649237.19798592 1673707.26801522)
162,n6389174552,6389174552,6927242.91907057,1695623.60445972,unavailable,120,False,0.24,Tosuns Energy,Level 1,POINT (6927242.91907057 1695623.60445972)
163,n6399466409,6399466409,6571134.04642106,2589484.728939,unavailable,120,True,0.35,S4M3T Energy,Level 1,POINT (6571134.04642106 2589484.728939)
164,n6407592335,6407592335,6671431.4313576,2512485.5826228,available,480,False,0.6,Begum Energy,Level 3,POINT (6671431.4313576 2512485.5826228)
165,n6430292118,6430292118,6490859.61737047,2116887.92745397,unavailable,120,True,0.58,Eticanium Energy,Level 1,POINT (6490859.61737047 2116887.92745397)
166,n6439585444,6439585444,6833851.09392094,2169187.6721322,available,120,True,0.42,Eticanium Energy,Level 1,POINT (6833851.09392094 2169187.6721322)
167,n6439585445,6439585445,6833141.608851,2169404.65608365,unavailable,120,False,0.38,S4M3T Energy,Level 1,POINT (6833141.608851 2169404.65608365)
168,n6439613077,6439613077,7149070.44662867,2073825.91939973,unavailable,120,True,0.38,S4M3T Energy,Level 1,POINT (7149070.44662867 2073825.91939973)
169,n6439613078,6439613078,7148941.3464742,2074175.06185066,available,120,True,0.47,S4M3T Energy,Level 1,POINT (7148941.3464742 2074175.06185066)
170,n6439613079,6439613079,6828362.42941416,2302860.57308667,unavailable,480,True,0.69,Tosuns Energy,Level 3,POINT (6828362.42941416 2302860.57308667)
171,n6439613080,6439613080,6828124.50357783,2302690.83312711,unavailable,480,True,0.21,Tosuns Energy,Level 3,POINT (6828124.50357783 2302690.83312711)
172,n6439613081,6439613081,7047313.58925901,2082745.23775226,unavailable,225,True,0.36,S4M3T Energy,Level 2,POINT (7047313.58925901 2082745.23775226)
173,n6439613082,6439613082,7046476.72832801,2082538.89594412,available,120,True,0.68,Eticanium Energy,Level 1,POINT (7046476.72832801 2082538.89594412)
174,n6440323835,6440323835,7252816.43870096,2057940.90636226,available,120,True,0.38,Eticanium Energy,Level 1,POINT (7252816.43870096 2057940.90636226)
175,n6440323836,6440323836,7252441.72579052,2058203.53130494,available,214,True,0.7,S4M3T Energy,Level 2,POINT (7252441.72579052 2058203.53130494)
176,n6440323837,6440323837,7264407.9276048,2063580.60780068,unavailable,213,False,0.54,Eticanium Energy,Level 2,POINT (7264407.9276048 2063580.60780068)
177,n6440323838,6440323838,7264805.27568655,2063831.55532877,available,480,True,0.44,Tosuns Energy,Level 3,POINT (7264805.27568655 2063831.55532877)
178,n6440323839,6440323839,7273655.5657597,2057659.11220327,unavailable,229,False,0.63,Tosuns Energy,Level 2,POINT (7273655.5657597 2057659.11220327)
179,n6459366987,6459366987,7211419.15270191,1754159.42248439,unavailable,480,True,0.35,Eticanium Energy,Level 3,POINT (7211419.15270191 1754159.42248439)
180,n6459366988,6459366988,7206010.34097392,1737101.98143793,available,214,False,0.36,S4M3T Energy,Level 2,POINT (7206010.34097392 1737101.98143793)
181,n6459366989,6459366989,7205614.68316222,1736459.7904275,available,232,True,0.2,Eticanium Energy,Level 2,POINT (7205614.68316222 1736459.7904275)
182,n6459367085,6459367085,7204980.55352225,1733100.64686916,available,218,True,0.24,Eticanium Energy,Level 2,POINT (7204980.55352225 1733100.64686916)
183,n6501825949,6501825949,6808287.60893503,1708437.17916282,available,480,True,0.63,S4M3T Energy,Level 3,POINT (6808287.60893503 1708437.17916282)
184,n6503983985,6503983985,7201007.64911464,1718597.77662938,available,120,True,0.58,Eticanium Energy,Level 1,POINT (7201007.64911464 1718597.77662938)
